learn_id,learning_name,num_learnning_str,number,from_language
it,Italian,514 tys.,513601,Polish
cy,Welsh,631K,630890,English
it,Italian,157 E,157083,Hungarian
en,English,,0,Urdu
de,German,129 χιλ.,129207,Greek
ko,Korean,130K,130308,Dutch
es,Spanish,179 N,178794,Vietnamese
de,German,7.16 ม.,71633,Thai
en,English,,0,Kannada
ko,Korean,"2,85M",2845366,Spanish
ja,Japanese,"64,2 E",64155,Hungarian
zh-CN,Chinese,"1,39M",1392424,Spanish
pt,Portuguese,207 ألف,207182,Arabic
de,German,363 N,363327,Vietnamese
ca,Catalan,"1,15M",1148462,Spanish
cs,Czech,806K,806300,English
de,German,3.17L,317333,Hindi
es,Spanish,183 χιλ.,183113,Greek
eo,Esperanto,"27,6 mil",27601,Portuguese
en,English,,0,Farsi
pt,Portuguese,"44,8 K",44772,Romanian
en,English,,0,Slovak
fr,French,147 tis.,147236,Czech
pt,Portuguese,"64,8K",64775,Indonesian
ko,Korean,13.2M,13160741,English
de,German,1.93 مليون,1926413,Arabic
fr,French,125 χιλ.,124594,Greek
learn_id,learning_name,num_learnning_str,number,from_language
ja,Japanese,"3,03M",3028626,Spanish
en,English,542 χιλ.,542153,Greek
pt,Portuguese,32.4K,32385,Telugu
de,German,40.1K,40136,Telugu
en,English,397 tn,396974,Swedish
en,English,"10,8 Mn",10846987,Turkish
ko,Korean,439K,439086,Tagalog
pt,Portuguese,365 Tsd,365174,German
es,Spanish,334 K,333989,Romanian
ja,Japanese,742K,741978,Bengali
ko,Korean,74.7K,74681,Telugu
es,Spanish,22.4K,22448,Telugu
ko,Korean,"1,50 mi",1500108,Portuguese
hv,High Valyrian,796K,795768,English
pt,Portuguese,21.6万,216238,Chinese (Simplified)
en,English,,0,Punjabi (Gurmukhi)
zh-CN,Chinese (Simplified),24.5K,24549,Telugu
ja,Japanese,"1,80 mi",1800628,Portuguese
ru,Russian,"1,69M",1689251,Spanish
es,Spanish,42.0M,41968116,English
es,Spanish,"6,66 mi",6664313,Portuguese
es,Spanish,35.1K,35074,Tamil
zh-CN,Chinese (Simplified),284 B,283951,Turkish
id,Indonesian,1.19M,1193598,English
de,German,199K,198596,Bengali
ja,Japanese,119 tis.,118999,Czech
es,Spanish,317 tis.,316911,Czech
zh-CN,Chinese (Simplified),204K,203566,Tagalog
en,English,"18,9 млн",18909822,Russian
ko,Korean,102 K,101922,Romanian
es,Spanish,404K,403525,Indonesian
ko,Korean,533万,5334903,Chinese (Simplified)
fr,French,113K,113166,Bengali
gd,Scottish Gaelic,536K,536347,English
de,German,396 тис,395785,Ukrainian
sv,Swedish,,0,Russian
da,Danish,922K,922348,English
ru,Russian,7.87M,7868378,English
ja,Japanese,40.6K,40558,Telugu
fr,French,,0,French
es,Spanish,134K,134017,Bengali
sv,Swedish,236 ألف,236169,Arabic
ja,Japanese,436K,435894,Tagalog
en,English,"6,77 Mio",6771091,German
it,Italian,247 K,246765,Romanian
es,Spanish,151万,1512755,Chinese (Simplified)
fr,French,1.18 ส.,117853,Thai
sw,Swahili,676K,675705,English
yi,Yiddish,282K,282417,English
pt,Portuguese,1.60L,160203,Hindi
pl,Polish,2.12M,2123529,English
ja,Japanese,82.5K,82483,Tamil
